9	9	9	8	8	8	8	8	8	8	6	6	6	7	7	6	8	8	8	8	8	8	9	9	9	10	10	10	10	10	10	11	10	10	10	11	11	13	11	9	8	8	9	8	7	9	7	7	7	7	6	7	8	9	9	7	6	6	5	7	7	7	6	5	6	6	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	5	5	5	5	4	5	5	6	4	5	5	5	3	0	0	0	0	0	0	0	0	0	0	0	3	5	4	2	0	0	1	3	4	6	6	7	6	7	7	7	7	7	5	6	5	6	5	7	8	7	9	9	8	8	8	8	7	7	7	8	8	7	7	7	7	7	8	8	7	8	8	8	8	10	9	8	8	8	8	10	10	10	10	9	9	9	9	9	9	9	10	10	9	9	9	9	9	9	9	9	8	8	9	9	9	10	10	9	10	10	10	10	10	11	10	10	9	9	11	11	9	9	9	10	10	9	9	10	9	9	10	9	9	9	10	10	11	10	10	10	10	10	10	10	10	10	10	11	12	11	11	11	12	12	12	12	11	10	10	10	10	10	8	9	11	12	12	12	10	9	9	10	10	9	8	8	10	8	8	8	8	8	8	8	8	8	7	8	8	7	6	6	6	7	7	7	6	7	6	6	7	7	7	6	5	5	5	5	5	5	5	5	4	5	5	5	6	6	4	3	5	5	5	5	3	0	3	5	5	5	5	5	5	5	3	3	5	5	6	6	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	6	6	5	6	7	7	7	5	5	7	7	8	6	7	8	7	7	7	7	7	7	7	6	6	7	6	7
9	9	9	8	8	8	8	8	8	7	5	5	6	7	8	7	8	8	8	8	8	8	9	9	10	10	10	10	10	10	10	11	11	11	11	11	11	13	11	9	9	9	9	8	8	10	8	7	7	7	6	7	8	9	8	7	6	5	6	7	7	7	6	6	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	5	4	3	3	5	5	5	4	5	4	5	3	0	0	0	0	0	0	0	0	0	0	0	3	5	5	4	2	0	0	1	2	4	6	6	6	6	6	7	7	7	5	5	4	6	6	7	7	8	9	8	7	7	8	8	7	7	7	8	8	7	8	7	7	7	7	7	7	8	8	8	8	9	9	8	8	8	8	8	9	9	9	9	9	9	8	8	9	9	10	10	9	8	9	9	9	9	9	8	8	8	8	9	8	9	10	10	10	10	10	10	10	10	11	10	10	11	11	10	9	8	9	10	10	9	9	10	9	9	10	11	9	10	11	11	11	11	10	11	10	10	9	10	9	9	10	11	12	10	11	11	13	12	11	10	11	10	10	10	10	10	8	8	10	11	11	11	10	9	9	9	10	9	8	8	10	9	8	8	8	9	9	8	7	7	6	7	8	7	6	7	7	7	8	7	7	7	6	6	6	7	7	6	6	5	5	5	5	5	5	5	4	4	3	4	6	6	5	4	5	5	5	5	3	3	4	5	5	5	5	5	5	6	4	5	5	6	5	6	5	4	4	4	5	5	6	5	4	5	5	5	5	5	6	6	6	6	7	6	6	6	6	6	6	7	7	6	6	7	8	7	8	7	7	8	7	6	6	7	6	6
9	9	9	8	8	8	8	8	8	7	5	6	8	8	8	7	8	9	8	8	8	9	10	10	10	9	9	10	10	10	10	11	11	11	11	11	11	11	11	9	9	9	9	8	10	11	9	7	6	7	7	7	9	9	8	7	7	6	6	7	7	7	6	7	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	3	1	2	4	5	4	4	4	3	4	2	0	0	0	0	0	0	0	0	0	0	3	5	4	5	6	4	1	1	0	0	4	6	6	6	6	6	7	8	6	6	5	5	6	6	7	8	8	8	8	7	7	7	8	7	8	7	8	8	7	8	7	6	6	7	6	6	8	8	8	8	9	9	8	8	7	8	7	8	8	9	9	9	9	8	7	8	10	10	9	9	8	8	8	8	8	8	8	8	8	8	8	7	8	9	10	10	10	10	11	11	10	10	10	11	11	11	10	9	8	9	10	11	10	10	9	9	9	11	11	10	11	11	12	11	12	10	11	11	10	10	11	10	9	10	11	11	10	10	11	12	11	11	9	10	10	10	9	10	10	10	10	10	10	10	11	10	9	8	9	9	10	8	8	8	9	8	8	8	9	10	8	7	7	7	7	8	7	7	7	7	8	8	7	7	7	7	7	6	7	8	7	6	6	5	5	6	6	6	5	5	4	3	4	5	6	6	4	6	5	5	5	5	5	4	5	5	5	5	4	6	6	5	5	5	6	6	6	6	4	4	5	6	6	6	5	4	5	5	5	5	5	6	6	6	7	7	6	6	5	6	6	6	6	7	7	5	6	8	7	8	7	8	9	8	8	7	7	6	6
8	9	9	9	8	8	8	8	8	8	6	6	8	9	8	8	9	9	9	8	8	9	11	11	10	9	9	10	11	9	9	10	11	11	11	11	11	11	10	9	8	9	9	8	10	10	9	8	6	7	8	8	8	7	6	6	7	6	7	7	7	7	6	7	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	1	0	2	4	5	4	4	4	2	2	0	0	0	0	0	0	0	0	0	0	0	3	5	4	5	6	5	3	3	1	0	4	6	7	6	6	6	7	8	6	6	6	6	6	6	7	8	8	7	7	7	7	6	8	8	9	8	8	8	7	7	7	6	6	5	7	7	8	8	8	8	8	7	7	8	8	9	8	8	8	9	10	10	9	8	8	9	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	7	9	10	9	10	10	12	11	11	10	10	10	11	11	11	10	9	9	9	10	10	10	10	10	9	9	11	11	11	11	11	12	12	11	10	10	10	9	10	11	10	9	9	10	10	10	10	11	11	11	9	9	9	9	10	10	10	10	10	10	10	10	10	11	10	9	8	9	9	10	9	8	8	9	9	8	8	9	9	8	7	7	7	7	7	7	7	8	8	9	7	7	7	7	8	8	7	7	7	7	6	6	6	6	6	6	6	5	5	5	3	4	5	5	6	6	6	6	6	6	6	5	4	5	5	5	4	4	5	6	5	5	5	6	5	5	7	6	4	5	5	5	5	5	4	5	5	5	5	5	6	6	6	7	6	6	6	5	6	6	6	6	8	8	6	6	7	7	8	8	8	9	8	8	8	7	6	6
8	9	9	9	8	8	8	8	8	8	6	7	8	8	8	8	9	8	9	7	7	9	11	11	9	9	9	11	11	11	9	10	11	11	11	11	11	10	10	9	8	9	9	8	9	9	9	8	7	7	7	8	8	6	6	5	7	7	7	7	7	6	6	7	6	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	2	0	0	2	3	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	5	6	6	5	5	5	3	1	4	6	6	6	7	8	7	7	7	6	6	6	6	5	7	7	7	8	7	7	7	7	7	8	9	9	9	8	7	7	7	7	6	5	7	7	8	8	7	7	7	6	6	8	9	9	8	7	7	9	9	10	10	9	8	9	9	9	9	9	9	8	8	8	9	8	8	8	8	8	8	7	9	10	10	11	11	12	12	11	10	11	10	11	10	10	10	9	10	10	10	10	9	10	11	10	10	11	11	11	11	11	11	11	11	9	10	10	9	10	11	10	9	9	10	10	10	9	10	10	10	10	8	8	9	10	10	10	9	10	9	10	10	10	10	10	9	9	9	9	9	9	9	8	9	9	9	8	8	8	8	7	7	8	7	8	6	6	8	8	9	8	7	7	7	7	7	7	7	6	6	5	6	6	6	6	7	5	5	6	6	5	6	6	6	6	7	6	7	7	7	7	6	5	5	4	4	4	3	4	6	5	5	5	6	5	5	7	6	5	5	5	4	5	5	4	5	5	5	5	5	6	6	6	7	6	6	5	5	6	6	6	8	8	7	6	7	7	7	7	8	8	8	8	8	8	7	6	6
8	8	8	8	8	8	8	8	8	8	6	6	7	8	7	8	8	9	8	8	8	9	9	10	10	9	10	11	12	13	11	11	11	11	10	10	10	10	9	8	8	9	9	10	9	9	10	8	8	7	7	7	6	7	7	6	7	7	7	6	6	6	6	7	6	4	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	6	5	6	5	5	5	4	3	5	5	5	6	7	8	7	7	7	7	7	6	5	5	7	7	8	8	8	7	7	7	8	8	8	8	8	8	6	7	8	7	6	6	7	7	7	7	8	7	6	5	7	8	8	8	7	7	7	8	9	10	10	9	8	8	9	9	9	10	9	9	8	8	8	8	8	8	10	10	9	9	9	10	10	11	11	11	12	11	10	11	10	11	10	10	10	9	10	10	9	9	10	10	11	11	11	11	11	11	11	11	11	11	11	9	10	11	10	10	11	10	10	10	10	10	8	9	10	10	10	10	8	9	9	10	10	9	10	9	9	9	9	9	9	10	9	9	9	8	8	9	9	9	9	9	9	8	8	8	7	7	7	8	8	8	6	6	8	8	9	9	8	7	8	7	6	6	6	6	6	6	6	5	6	6	7	6	6	6	6	6	7	6	6	7	7	6	6	6	7	7	7	5	5	5	4	4	4	5	5	5	6	5	5	4	5	6	6	5	5	4	2	4	4	3	3	5	5	5	5	6	6	6	7	6	6	5	6	7	6	7	8	8	7	6	7	8	8	6	8	8	8	8	9	9	7	6	6
7	8	8	8	8	8	8	8	8	8	6	6	7	7	7	7	8	9	9	9	9	9	10	11	10	10	10	10	12	13	11	10	11	11	10	10	9	9	9	8	9	10	10	11	10	10	9	9	8	7	6	6	5	7	7	7	7	6	7	7	6	4	5	7	6	6	7	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	5	6	6	4	4	4	5	6	5	5	6	7	8	8	7	6	7	7	6	6	5	7	7	7	8	8	8	7	7	7	8	8	9	7	7	6	7	8	7	6	6	6	7	7	7	8	7	6	5	7	7	8	8	8	7	7	8	9	9	9	8	8	8	9	9	8	9	8	9	8	8	8	8	8	9	10	10	10	9	9	10	10	11	11	11	12	11	10	11	10	10	10	10	9	9	10	10	9	9	10	10	10	11	11	11	11	11	11	11	11	10	10	10	10	11	11	10	10	10	10	11	10	10	8	9	10	10	10	10	9	10	10	10	9	8	9	9	8	9	9	9	9	9	9	9	9	8	8	9	8	9	9	9	8	9	8	7	8	8	8	8	9	9	8	7	8	8	9	10	9	9	8	7	6	7	7	6	6	6	5	5	6	6	7	7	6	7	6	6	7	6	6	7	8	7	6	6	6	6	7	5	5	5	4	4	4	5	6	6	6	5	5	6	5	6	5	5	5	4	2	4	4	2	2	4	6	5	6	7	7	7	7	6	6	6	6	6	6	8	8	7	7	7	8	9	8	7	8	8	9	9	9	8	7	7	7
7	8	8	8	8	7	8	7	7	8	6	5	6	6	6	7	8	9	9	9	8	9	10	11	11	10	10	10	12	13	11	10	11	12	11	10	9	9	9	8	9	11	11	11	11	10	10	8	9	8	6	5	5	7	8	8	7	7	7	7	6	4	5	7	6	6	7	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	6	6	5	4	5	5	6	5	5	6	7	7	8	7	6	6	7	6	6	6	7	7	8	7	8	9	9	8	7	8	8	9	7	6	6	7	7	7	6	6	6	6	7	7	7	7	6	7	7	6	7	7	8	8	8	9	9	8	8	8	9	9	9	9	8	8	8	8	8	8	7	8	9	10	10	10	10	9	9	9	9	11	11	11	11	11	10	10	10	10	10	10	9	9	9	9	8	9	10	11	11	10	11	11	11	11	11	11	11	10	10	10	11	12	11	11	10	10	11	11	10	10	9	10	9	9	9	9	9	10	10	10	9	8	8	8	8	9	9	9	9	9	9	9	9	8	8	8	7	8	9	8	9	9	8	7	8	9	8	8	8	8	9	7	8	9	10	10	10	9	8	8	7	7	7	7	7	6	4	5	6	6	7	7	6	6	6	6	7	6	8	8	8	7	7	6	6	6	5	5	6	5	5	4	5	5	6	6	6	5	5	6	6	6	5	5	5	4	3	4	4	2	2	4	6	5	6	7	7	7	7	6	6	6	7	6	7	8	8	7	7	8	8	8	8	7	6	8	9	9	9	8	8	7	7
6	7	8	8	8	8	7	7	6	6	8	6	6	6	6	7	8	8	9	9	8	8	10	11	10	9	10	10	11	12	11	11	11	12	11	10	9	9	9	9	9	10	10	11	10	10	10	8	8	7	5	6	6	8	8	7	6	7	7	8	6	4	5	6	5	6	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	5	5	5	5	6	6	6	5	5	5	6	7	8	8	6	6	7	6	7	6	7	7	8	8	8	9	9	8	7	8	8	9	8	7	6	6	7	6	7	7	6	6	7	7	7	8	7	7	7	7	7	7	8	8	8	9	8	8	8	8	9	9	9	8	8	8	7	8	8	8	7	9	9	10	10	9	9	9	9	9	9	10	10	9	10	11	10	10	11	10	10	10	10	9	8	8	8	9	10	10	10	10	10	11	11	11	11	11	11	10	10	11	12	12	11	10	10	10	11	11	10	9	9	10	9	8	9	9	9	10	10	10	10	9	9	8	8	8	9	9	9	9	9	9	8	8	9	8	8	8	8	8	9	9	8	8	9	9	8	8	8	8	8	7	7	9	9	9	9	8	8	8	7	7	7	7	7	6	5	5	6	6	6	6	6	5	5	6	7	7	8	8	7	7	7	7	6	6	5	5	6	5	5	4	5	5	5	5	5	6	6	6	6	6	5	5	5	4	3	4	5	3	2	4	6	6	6	7	7	7	5	5	6	7	7	8	8	7	7	7	7	8	8	8	8	7	5	7	8	9	8	8	8	7	7
6	8	9	8	8	8	7	6	6	6	8	7	6	6	6	7	8	9	9	9	8	7	9	10	9	9	10	11	10	11	11	10	11	11	11	11	10	9	8	9	9	10	10	9	9	9	9	8	8	6	6	6	6	7	7	6	4	5	6	7	6	4	4	5	5	5	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3	5	3	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	5	4	5	5	6	6	5	6	5	5	6	7	8	9	7	5	6	6	7	6	7	8	8	7	8	9	9	8	8	8	9	9	9	7	6	7	7	6	7	6	6	6	7	7	8	8	8	8	7	7	8	8	8	8	8	7	7	7	7	8	9	8	8	8	8	9	8	8	8	8	9	9	9	10	10	9	9	9	9	9	10	9	9	9	10	10	11	11	11	10	10	10	9	8	7	8	8	8	8	9	10	10	10	11	11	11	11	10	10	10	10	10	11	11	11	10	10	11	11	11	10	9	11	11	9	8	9	9	9	10	10	10	10	10	10	9	8	9	9	9	9	9	9	9	8	7	8	9	8	8	8	9	10	9	7	8	8	9	9	9	8	8	8	8	8	8	8	8	8	9	9	8	8	8	8	8	6	6	7	6	6	6	5	5	6	5	5	6	7	7	8	8	7	7	7	7	6	6	6	6	6	5	5	4	5	5	5	4	5	6	6	6	6	6	6	7	7	5	3	4	5	5	3	4	6	6	6	7	7	5	5	6	6	6	7	8	8	7	7	7	7	7	7	7	7	6	5	7	8	8	8	8	7	7	7
6	8	9	9	9	8	7	6	5	6	8	7	7	7	7	7	8	9	8	9	8	8	9	9	9	9	10	11	10	11	11	11	10	10	11	11	11	10	8	9	8	9	8	9	8	7	8	7	7	6	6	5	6	7	6	5	4	5	5	6	6	4	3	5	5	5	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	2	0	3	5	3	1	3	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	5	5	4	5	6	6	6	5	5	4	5	7	7	8	8	7	5	6	6	6	6	7	7	7	7	8	9	9	9	9	9	10	10	10	8	7	7	7	8	7	6	7	6	7	7	8	8	8	8	7	7	9	8	8	8	8	7	7	7	7	8	8	7	7	8	9	9	9	9	8	8	9	8	9	10	11	9	8	8	9	10	10	9	9	10	10	10	10	10	10	10	10	9	7	7	7	8	8	8	8	9	10	10	10	11	11	11	11	10	10	10	10	10	11	11	11	9	10	11	11	12	11	11	11	11	9	8	9	9	9	9	10	11	10	10	10	10	8	10	9	8	9	9	9	8	8	8	9	9	8	8	7	9	10	9	8	7	8	8	9	9	9	10	10	9	9	8	8	8	8	9	9	8	9	8	8	8	6	7	8	7	5	5	5	6	5	5	5	7	7	7	8	8	8	7	7	7	6	6	6	6	6	5	5	4	5	5	5	4	6	7	6	6	6	6	6	7	7	6	4	5	4	4	3	4	6	7	7	6	5	5	5	6	6	6	7	7	8	8	7	7	7	7	7	6	6	6	6	8	7	8	7	7	7	8	7
5	6	8	9	9	8	7	5	6	6	7	8	8	7	7	7	8	8	8	9	8	8	9	9	10	10	10	10	9	10	11	11	9	11	12	12	12	11	9	9	8	8	8	9	8	6	6	6	6	6	5	5	6	7	6	5	5	5	5	6	5	4	3	4	5	5	4	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	2	2	4	4	3	4	5	5	5	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	6	6	5	5	5	6	6	6	5	5	5	6	7	8	8	7	5	6	6	7	6	6	6	6	6	7	8	8	9	9	9	9	9	10	10	10	9	7	8	9	8	8	7	8	9	9	8	8	8	7	7	7	8	8	8	6	7	7	8	7	7	8	7	7	7	8	8	8	9	8	7	7	7	7	8	10	11	9	7	8	10	10	9	9	9	10	10	10	10	10	10	9	9	8	7	7	7	8	8	8	8	9	10	10	10	11	10	11	11	11	11	10	10	10	11	11	11	10	9	10	11	12	11	11	11	11	10	9	9	9	9	9	10	11	10	11	10	10	9	9	8	8	9	9	9	8	9	9	9	9	9	8	7	9	10	10	9	8	8	8	9	9	9	10	10	9	9	8	9	9	8	9	9	9	9	8	8	7	7	7	8	7	5	5	5	6	6	6	5	7	7	8	8	8	8	8	8	8	6	6	6	6	5	5	5	5	5	5	5	4	6	7	6	6	6	5	5	6	6	6	5	5	4	4	5	5	6	7	7	5	5	5	6	6	6	7	7	7	8	8	7	7	7	6	6	6	5	6	6	8	7	8	7	6	7	7	7
4	4	6	7	9	8	7	6	7	7	6	7	8	7	8	8	8	8	8	9	8	8	9	9	9	11	11	10	9	10	11	11	9	11	12	12	11	10	9	8	7	8	8	9	8	6	6	6	5	6	5	4	5	6	6	5	5	6	7	6	5	4	3	4	4	5	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	5	4	2	2	4	5	4	6	7	5	6	4	0	0	0	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	5	6	7	6	5	5	5	5	6	6	6	6	7	7	7	7	7	5	6	6	7	6	6	6	6	7	8	9	8	9	10	9	9	9	9	9	10	9	9	9	9	10	9	9	10	10	9	8	6	6	7	7	7	8	8	7	5	6	7	8	8	8	8	7	6	7	8	8	8	8	7	6	6	6	8	8	10	10	8	9	10	10	9	8	10	10	10	10	11	10	10	9	8	8	8	7	7	7	8	8	8	8	8	8	10	10	10	10	11	11	11	11	10	11	11	10	10	10	10	10	10	11	11	11	11	11	11	10	9	8	8	9	9	10	11	10	11	10	10	9	9	8	8	9	9	9	9	10	9	9	8	9	8	6	8	9	11	10	9	9	8	9	9	8	8	8	9	9	8	9	9	9	9	8	8	9	8	8	7	7	8	7	7	6	6	6	6	6	6	5	6	7	8	7	8	8	8	8	7	6	6	6	6	5	5	5	5	7	6	4	5	7	7	6	6	6	5	5	5	5	5	6	5	5	5	5	5	5	6	7	5	5	6	6	6	7	8	7	7	8	8	7	7	8	7	6	6	6	6	6	7	7	7	7	6	6	6	6
4	4	3	7	8	8	8	7	7	8	7	8	7	7	8	8	8	8	8	9	8	8	8	9	9	10	10	10	9	10	11	10	9	10	11	11	10	9	8	8	7	8	8	8	8	8	6	6	5	6	5	4	5	6	6	5	4	6	7	6	5	5	3	2	4	5	5	4	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	5	5	4	3	3	5	5	5	6	7	6	5	4	2	2	2	3	5	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	6	6	6	5	4	5	5	5	6	6	6	6	6	6	7	7	5	6	7	6	6	6	7	7	7	8	9	9	9	9	8	7	9	8	9	10	11	11	10	10	10	9	9	10	10	9	8	6	6	7	7	7	8	8	7	5	6	7	7	8	8	8	7	5	6	7	7	8	8	7	6	6	6	8	9	10	9	8	9	10	9	8	8	9	10	10	11	11	9	9	8	8	8	8	8	7	7	8	8	8	8	8	8	10	10	10	10	11	11	11	10	9	10	10	10	10	10	10	10	11	11	10	11	11	10	10	10	10	9	9	10	9	9	10	11	11	11	10	9	9	9	9	9	9	9	9	9	8	8	8	9	8	8	9	10	10	11	10	10	10	10	9	9	8	8	9	9	8	9	9	9	9	8	8	8	8	8	7	7	7	8	6	6	6	6	6	7	7	6	6	6	6	7	7	8	8	8	7	7	6	7	6	5	5	5	5	7	6	4	5	7	7	6	6	6	5	5	4	5	6	6	5	5	5	5	5	5	6	6	5	5	6	6	7	8	8	8	7	7	7	8	9	8	7	7	6	6	7	7	6	6	7	7	6	6	6	6
4	4	2	7	8	7	8	8	8	8	7	8	7	7	8	8	8	8	8	9	9	8	8	9	8	10	10	10	10	10	11	10	8	8	10	10	8	8	8	8	7	7	8	8	8	8	6	6	5	6	6	5	6	6	6	5	5	6	7	7	6	5	3	2	4	5	5	4	4	2	0	0	0	0	0	0	2	2	1	2	3	1	1	4	6	5	5	5	5	5	5	4	6	6	6	5	5	4	4	4	5	6	5	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	5	4	4	4	4	4	4	5	5	7	6	5	4	5	6	6	6	7	7	6	6	7	7	8	8	8	8	9	8	9	8	7	8	8	9	10	11	11	11	10	9	9	10	10	9	9	9	7	7	7	7	7	7	8	7	6	7	7	7	7	8	7	6	5	6	7	7	8	8	7	6	6	7	8	9	10	10	9	9	9	8	8	8	9	9	10	10	10	9	9	8	8	8	8	8	6	7	7	7	8	9	9	8	9	9	10	10	11	11	11	9	9	10	10	9	10	8	10	10	11	11	10	10	10	10	9	10	10	10	10	11	11	11	11	10	10	11	11	10	10	9	10	10	10	9	9	7	8	8	8	8	9	9	10	10	10	10	11	11	10	10	10	9	10	9	9	8	8	10	10	9	8	8	9	8	8	9	8	8	7	7	6	6	7	7	7	8	7	6	6	6	6	6	7	7	8	8	7	7	8	8	7	5	5	4	5	6	6	6	6	7	7	6	5	6	5	5	4	6	6	6	5	5	6	6	5	5	6	6	5	6	6	6	7	8	8	8	7	7	7	8	9	8	7	7	6	7	7	7	6	6	7	7	6	6	6	6
5	4	3	7	7	7	7	8	8	7	8	7	8	8	9	8	8	9	9	8	8	8	8	9	8	9	10	10	10	11	11	10	9	8	9	10	8	8	9	8	7	7	7	8	8	7	6	6	5	6	6	5	5	5	6	5	5	7	7	7	6	5	4	2	3	5	5	4	4	2	0	0	0	0	0	2	4	4	3	4	5	3	3	4	6	7	6	6	5	5	5	4	6	6	6	6	5	6	6	5	5	5	5	4	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	5	4	4	2	2	4	4	4	5	6	7	7	5	4	5	5	5	5	7	9	7	8	7	7	8	9	8	8	9	8	8	7	8	8	7	8	9	10	11	11	9	8	9	9	9	8	9	9	7	8	8	7	6	7	7	7	8	8	7	5	5	7	7	7	5	6	6	7	7	8	8	7	7	8	8	8	9	10	9	8	8	9	8	8	9	8	9	10	9	9	9	8	9	8	8	7	6	7	7	7	8	9	9	8	9	8	9	10	11	11	10	9	9	9	11	9	9	8	8	9	10	11	11	10	11	11	10	10	10	10	10	11	11	11	11	10	10	10	11	10	10	10	10	10	10	9	8	7	8	8	8	9	9	9	10	10	10	10	11	11	10	11	10	9	10	10	9	8	8	10	11	11	9	8	9	9	8	9	9	8	6	6	6	6	7	7	7	8	8	6	6	6	6	6	7	6	6	7	7	7	8	8	7	5	5	5	5	6	6	6	6	7	8	6	6	5	5	5	6	6	6	6	5	6	7	6	4	4	6	6	6	7	7	7	8	8	8	7	7	7	8	8	7	7	7	6	6	7	6	6	6	5	5	5	6	5	6	6
5	4	8	8	7	6	6	7	8	8	8	8	8	10	9	9	9	10	10	8	8	8	9	9	8	9	10	11	10	10	10	10	9	8	9	9	9	8	8	8	7	7	7	7	7	7	6	6	6	5	6	5	5	5	6	6	6	7	7	7	6	5	4	2	4	5	5	4	4	4	2	0	0	0	3	3	5	5	5	4	5	5	5	5	6	7	6	7	5	5	5	5	6	6	6	6	5	6	6	5	4	4	5	4	5	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	4	2	0	2	2	4	5	6	7	7	5	4	5	5	5	4	6	8	8	8	7	7	7	8	7	8	8	8	8	6	7	7	6	7	7	9	9	10	9	7	8	8	7	7	8	9	7	8	8	7	6	6	7	7	8	8	8	6	5	7	7	7	6	5	6	7	7	7	7	7	7	8	7	7	7	8	8	7	8	9	8	8	9	8	7	8	9	9	9	8	9	8	7	7	6	6	7	6	8	9	9	8	9	8	8	10	10	10	9	9	9	9	11	9	9	8	8	8	10	12	12	11	11	11	10	10	10	10	10	11	11	11	11	10	10	10	11	10	10	10	10	10	10	9	9	8	8	8	9	9	9	10	11	10	10	10	11	11	10	11	9	9	10	10	9	8	8	9	11	11	9	10	10	9	9	9	10	9	6	6	7	7	7	7	7	7	7	6	7	6	6	6	6	6	6	7	7	8	8	7	7	6	5	5	6	6	6	6	6	7	8	7	6	6	5	5	6	5	6	6	6	6	7	6	4	4	6	6	7	7	8	7	8	8	8	7	8	8	9	7	7	7	7	6	6	6	6	6	6	5	5	5	6	5	6	7
